Model,Image,Category,Engine Type
AUDI R8 GT,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_R8-GT--US--2022_main.jpg_tmb.jpg,COUPES,Gasoline
AUDI S5 Cabriolet,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S5-Cabriolet-2020_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
AUDI S5 Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S5-Sportback-2020_main.jpg_tmb.jpg,SEDANS,Diesel · Gasoline
AUDI SQ5 Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_SQ5-Sportback-2024_main.jpg_tmb.jpg,SUVS,Diesel
AUDI A3 Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A3-Sedan-2024_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Mild hybrid · Mild hybrid diesel
AUDI Q5,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_Q5-2024_main.jpg_tmb.jpg,SUVS,Diesel · Hybrid · Gasoline · Mild hybrid diesel · Mild hybrid · Plug-in hybrid
AUDI A3 Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A3-Sportback-2024_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Hybrid · Natural gas · Plug-in hybrid · Mild hybrid · Mild hybrid diesel
AUDI SQ5,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_SQ5-2024_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Mild hybrid diesel
AUDI SQ7,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_SQ7-2024_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
AUDI A5 Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A5-2016_main.jpg_tmb.jpg,COUPES,Gasoline · Diesel
AUDI A5 Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A5-Sportback-2019_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
AUDI S3 Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S3-Sedan-2024_main.jpg_tmb.jpg,SEDANS,Gasoline
AUDI S5,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S5-Sedan-2024_main.jpg_tmb.jpg,COUPES,Gasoline
AUDI S3 Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S3-Sportback-2024_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
AUDI RS 3 Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_RS-3-Sportback-2024%20_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
AUDI RS 3 Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_RS-3-Sedan-2024%20_main.jpg_tmb.jpg,SEDANS,Gasoline
AUDI R8 Spyder,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_R8-V10-performance-RWD-Spyder-2021_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline ·
AUDI Q7,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_Q7-2024_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Hybrid gasoline
AUDI Q5 Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_Q5-Sportback-2024_main.jpg_tmb.jpg,SUVS,Mild hybrid diesel · Mild hybrid · Plug-in hybrid
AUDI SQ8,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_SQ8-2023_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
AUDI Q8,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_Q8-2023_main.jpg_tmb.jpg,SUVS,Diesel · Hybrid gasoline · Gasoline
AUDI A1,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A1Citicarver--2019_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
AUDI R8,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_R8-V10-performance-RWD-2021_main.jpg_tmb.jpg,COUPES,Gasoline · Electric
AUDI S8,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S8-2021_main.jpg_tmb.jpg,SEDANS,Gasoline
AUDI SQ2,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_SQ2-2020_main.jpg_tmb.jpg,SUVS,Gasoline
AUDI Q2,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_Q2-2020_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
AUDI A4,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A4-2019_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Ethanol · Mild hybrid
AUDI TT RS Roadster,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_TT-RS-Roadster-2019_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
AUDI TT RS Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_TT-RS-Coupe-2019_main.jpg_tmb.jpg,COUPES,Gasoline
AUDI A4 Avant,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A4-Avant-2019_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel · Ethanol
AUDI S6,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S6-2019_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
AUDI RS 4 Avant,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_RS4-Avant--B10--2019_main.jpg_tmb.jpg,WAGONS,Gasoline
AUDI S6 Avant,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S6-Avant-e-tron-2024%20_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel · Electric
AUDI RS 5,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_RS5-Coupe-2019_main.jpg_tmb.jpg,COUPES,Gasoline
AUDI Allroad,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A6-allroad-quattro-2019_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Hybrid
AUDI RS7 Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_RS7-Sportback-performance-2022_main.jpg_tmb.jpg,WAGONS,Gasoline · Mild hybrid
AUDI S4,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S4-TDI-2019_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
AUDI RS5 Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_RS5-Sportback-2019_main.jpg_tmb.jpg,SEDANS,Gasoline
AUDI S4 Avant,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S4-Avant-TDI-2019_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel
AUDI RS6 Avant,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_RS6-Avant-performance-2022_main.jpg_tmb.jpg,WAGONS,Gasoline
AUDI TT Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_TTS-Coupe-Competition-Plus-2020_main.jpg_tmb.jpg,COUPES,Gasoline · Diesel
AUDI TT Roadster,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_TTS-Roadster-Competition-Plus-2020_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline · Diesel
AUDI A6,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A6-2018_main.jpg_tmb.jpg,SEDANS,Diesel · Gasoline · Hybrid gasoline · Hybrid
AUDI A6 Avant,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A6-Avant-2018_main.jpg_tmb.jpg,WAGONS,Diesel · Gasoline · Hybrid
AUDI Q3,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_Q3-2018_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Mild hybrid
AUDI A7,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A7-Sportback-2017_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Hybrid · Mild hybrid diesel
AUDI S7 Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S7-Sportback-2019_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
AUDI A8,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A8-2021_main.jpg_tmb.jpg,SEDANS,Diesel · Gasoline · Hybrid · Hybrid gasoline · Mild hybrid
AUDI S3,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S3-2016_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
AUDI S3 Cabriolet,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S3-Cabriolet-2016_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
AUDI A4 Allroad,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A4-Allroad-quattro-2019_main.jpg_tmb.jpg,WAGONS,Diesel · Gasoline
AUDI A3 Cabriolet,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A3-Cabriolet-2016_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline · Diesel
AUDI RS Q8,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_RS-Q8-2019_main.jpg_tmb.jpg,SUVS,Gasoline
AUDI S5 Avant,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_S5-Avant-2024_main.jpg_tmb.jpg,WAGONS,Gasoline
AUDI Q4 e-tron,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_e-tron-2021_main.jpg_tmb.jpg,SUVS,Electric
AUDI A5 Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A5-Sedan-2024_main.jpg_tmb.jpg,SEDANS,Mild hybrid diesel · Gasoline
AUDI SQ6 Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_SQ6-Sportback-e-tron-2024_main.jpg_tmb.jpg,SUVS,
AUDI A5 Avant,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_A5-Avant-2024_main.jpg_tmb.jpg,WAGONS,Mild hybrid diesel · Gasoline
AUDI e-tron Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/AUDI_e-tron-Sportback-2019_main.jpg_tmb.jpg,SUVS,Electric
