Model,Image,Category,Engine Type
BUICK Enclave,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Enclave-2024_main.jpg_tmb.jpg,SUVS,Gasoline
BUICK Encore,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Encore-GX-2023_main.jpg_tmb.jpg,SUVS,Gasoline
BUICK Envision,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Envision-2023_main.jpg_tmb.jpg,SUVS,Gasoline · Mild hybrid
BUICK Regal,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Regal-GS-2017_main.jpg_tmb.jpg,SEDANS,Gasoline · · Mild hybrid
BUICK Envista,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Envista-2023_main.jpg_tmb.jpg,SUVS,Gasoline
BUICK Regal Sportback,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Regal-Sportback-2017_main.jpg_tmb.jpg,SEDANS,Gasoline
BUICK Cascada,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Cascada-2016_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUICK Century,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Century-1997-1997_main.jpg_tmb.jpg,SEDANS,Gasoline
BUICK Gran Sport,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Gran-Sport-455-1970_main.jpg_tmb.jpg,COUPES,Gasoline
BUICK LaCrosse,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_LaCrosse-Avenir-2017_main.jpg_tmb.jpg,SEDANS,Gasoline · Hybrid
BUICK LeSabre,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_LeSABRE-1999_main.jpg_tmb.jpg,SEDANS,Gasoline
BUICK Lucerne,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Lucerne-2006_main.jpg_tmb.jpg,SEDANS,Gasoline
BUICK Model 21,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Model-21-1911_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUICK Model 26,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Model-26-1911_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUICK Model 27,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Model-27-1911_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUICK Model 32,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Model-32-1911_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUICK Model 33,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Model-33-1911_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUICK Model 38,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Model-38-1911_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUICK Model 39,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Model-39-1911_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUICK Model 41,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Model-41-1911_main.jpg_tmb.jpg,SEDANS,Gasoline
BUICK Model C,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Model-C-1905_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUICK Park Avenue,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Park-Avenue-1997_main.jpg_tmb.jpg,SEDANS,Gasoline
BUICK Rainier,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Rainer-2005_main.jpg_tmb.jpg,SUVS,Gasoline
BUICK Reatta,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Reatta-1990_main.jpg_tmb.jpg,COUPES,Gasoline
BUICK Rendezvous,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Rendezvous-2005_main.jpg_tmb.jpg,SUVS,Gasoline
BUICK Riviera,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Riviera-1990_main.jpg_tmb.jpg,COUPES,Gasoline
BUICK Roadmaster,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Roadster-1949_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUICK Skylark,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Skylark-1992_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUICK Super Riviera,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Super-Riviera-Coupe-1958_main.jpg_tmb.jpg,COUPES,Gasoline
BUICK Terraza,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Terraza-2005_main.jpg_tmb.jpg,VANS,Gasoline
BUICK Verano,https://s1.cdn.autoevolution.com/images/models/thumb/BUICK_Verano-2012_main.jpg_tmb.jpg,SEDANS,Gasoline
