Model,Image,Category,Engine Type
FERRARI F8,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_F8-Tributo-2019_main.jpg_tmb.jpg,COUPES,Gasoline
FERRARI Portofino,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_Portofino-M-2020_main.jpg_tmb.jpg,COUPES,Gasoline
FERRARI 12Cilindri Spider,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_12Cilindri-Spider-2024_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
FERRARI 296 GTB,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_296-GTB-2022_main.jpg_tmb.jpg,COUPES,Plug-in hybrid
FERRARI Purosangue,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_Purosangue-2022_main.jpg_tmb.jpg,SUVS,Gasoline
FERRARI GTC4Lusso T,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_GTCLusso-T-2016_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
FERRARI 296 GTS,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_296-GTS-2022_main.jpg_tmb.jpg,COUPES,Hybrid gasoline
FERRARI 488 Pista,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_488-Pista-2018_main.jpg_tmb.jpg,COUPES,Gasoline
FERRARI Roma Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_Roma-Spider-2023_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
FERRARI 812,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_812-GTS-2019_main.jpg_tmb.jpg,COUPES,Gasoline
FERRARI GTC4Lusso,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_GTC4Lusso-2016_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
FERRARI Daytona,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_Daytona-SP3-2021_main.jpg_tmb.jpg,COUPES,Gasoline
FERRARI Monza,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_SP1-2018_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
FERRARI F60 America,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_F60-America-2014_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
FERRARI 12Cilindri,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_12Cilindri-2024_main.jpg_tmb.jpg,COUPES,Gasoline
FERRARI Roma,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_Roma-2019_main.jpg_tmb.jpg,COUPES,Gasoline
FERRARI F80,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_F80-2024_main.jpg_tmb.jpg,COUPES,Hybrid gasoline
FERRARI SF90,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_SF90-XX-Stradale-2023_main.jpg_tmb.jpg,COUPES,Hybrid · Hybrid gasoline
FERRARI 125/159 S,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_125-S-1947_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
FERRARI 166 Spider Corsa,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_166-Spyder-Corsa-1947_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
FERRARI 166 Sport,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_166-Sport-1948_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
FERRARI 195,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_195-S-1950_main.jpg_tmb.jpg,COUPES,Gasoline
FERRARI 212,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_212-Inter-1951_main.jpg_tmb.jpg,COUPES,Gasoline
FERRARI 250,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_250-GTO-1962_main.jpg_tmb.jpg,COUPES,Gasoline
FERRARI 275,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_275-GTS-1965_main.jpg_tmb.jpg,COUPES,Gasoline
FERRARI 288 GTO/F40/F50/Enzo/LaFerrari,https://s1.cdn.autoevolution.com/images/models/thumb/FERRARI_LaFerrari-2013_main.jpg_tmb.jpg,COUPES,Gasoline · Hybrid
