Model,Image,Category,Engine Type
FORD Expedition,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Expedition-2024_main.jpg_tmb.jpg,SUVS,Gasoline
FORD Kuga,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Kuga-2024_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
FORD Explorer,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Explorer-2024_main.jpg_tmb.jpg,SUVS,Gasoline · Hybrid gasoline
FORD Mustang Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Mustang-GT-Convertible-2023_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
FORD Everest,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Everest-2022_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
FORD Escape,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Escape-2022_main.jpg_tmb.jpg,SUVS,Gasoline · Hybrid · Hybrid gasoline · Diesel · Plug-in hybrid
FORD Wildtrak,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Ranger-Wildtrak-2021_main.jpg_tmb.jpg,TRUCKS,Diesel
FORD Fiesta 5 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Fiesta-Active-2021_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Natural gas · Mild hybrid
FORD Ranger Double Cab,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Ranger-Raptor--US--2023_main.jpg_tmb.jpg,TRUCKS,Diesel · Gasoline
FORD Focus Wagon,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Focus-Active-Wagon-2021_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel · Hybrid
FORD F-150 Raptor,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_F-150-Raptor-2021_main.jpg_tmb.jpg,TRUCKS,Gasoline
FORD Focus ST 5 doors,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Focus-ST--2021_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
FORD Focus 5 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Focus-2021_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Hybrid ·
FORD Fiesta ST,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Fiesta-ST-3-doors-2018_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
FORD Mustang,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Mustang-GTD-2023_main.jpg_tmb.jpg,COUPES,Gasoline
FORD F-150 Super Crew,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_F-150-Tremor-2020_main.jpg_tmb.jpg,TRUCKS,Gasoline · Diesel · Hybrid gasoline
FORD Galaxy,https://s1.cdn.autoevolution.com/images/models/thumb/FORD_Galaxy-2019_main.jpg_tmb.jpg,VANS,Diesel · Gasoline
