Model,Image,Category,Engine Type
INFINITI QX80,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_QX80-2024_main.jpg_tmb.jpg,SUVS,Gasoline
INFINITI QX60,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_QX60-2021_main.jpg_tmb.jpg,SUVS,Hybrid · Gasoline
INFINITI QX50,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_QX50-2020_main.jpg_tmb.jpg,SUVS,Gasoline
INFINITI Q70,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_Q70-2018_main.jpg_tmb.jpg,SUVS,Diesel · Hybrid · Gasoline
INFINITI Q50,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_Q50-2018_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Hybrid gasoline · Hybrid
INFINITI Q60,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_Q60-2018_main.jpg_tmb.jpg,COUPES,Gasoline
INFINITI QX30,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_QX30-2017_main.jpg_tmb.jpg,HATCHBACKS,Diesel · Gasoline
INFINITI QX70,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_QX70-2017_main.jpg_tmb.jpg,SUVS,Gasoline
INFINITI QX55,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_QX55-2021_main.jpg_tmb.jpg,,Gasoline
INFINITI EX,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_EX-2013_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
INFINITI FX,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_FX-50-2008_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
INFINITI G Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_IPL-G-Convertible-2013_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
INFINITI G Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_IPL-G-Coupe-2011_main.png_tmb.png,COUPES,Gasoline
INFINITI G Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_G-Sedan-2013_main.jpg_tmb.jpg,SEDANS,Gasoline
INFINITI G20,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_G20-1999_main.jpg_tmb.jpg,SEDANS,Gasoline
INFINITI G35,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_G35-Sedan-2006_main.jpg_tmb.jpg,SEDANS,Gasoline
INFINITI G35 Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_G-Coupe-2002_main.jpg_tmb.jpg,COUPES,Gasoline
INFINITI I,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_I30-I35-1999_main.jpg_tmb.jpg,SEDANS,Gasoline
INFINITI J,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_J30-1993_main.jpg_tmb.jpg,SEDANS,Gasoline
INFINITI JX,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_JX-2012_main.jpg_tmb.jpg,SUVS,Gasoline
INFINITI M Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_M30-Convertible-1990_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
INFINITI M Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_M30-Coupe-1990_main.jpg_tmb.jpg,COUPES,Gasoline
INFINITI M Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_M-Sedan-2010_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Hybrid gasoline
INFINITI Q,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_Q45-2001_main.jpg_tmb.jpg,SEDANS,Gasoline
INFINITI Q40,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_Q40-2014_main.jpg_tmb.jpg,SEDANS,Gasoline
INFINITI Q60 Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_Q60-Convertible-2013_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
INFINITI QX,https://s1.cdn.autoevolution.com/images/models/thumb/INFINITI_QX-2010_main.jpg_tmb.jpg,SUVS,Gasoline
