Model,Image,Category,Engine Type
ISUZU 117 Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/ISUZU_117-Coupe-1968_main.jpg_tmb.jpg,COUPES,Gasoline · Diesel
ISUZU Amigo 3 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/ISUZU_Amigo-3-Doors-1997_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
ISUZU Amigo Cabrio,https://s1.cdn.autoevolution.com/images/models/thumb/ISUZU_Amigo-Cabrio-1997_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
ISUZU Ascender,https://s1.cdn.autoevolution.com/images/models/thumb/ISUZU_Ascender-2001_main.jpg_tmb.jpg,SUVS,Gasoline
ISUZU Axiom,https://s1.cdn.autoevolution.com/images/models/thumb/ISUZU_Axiom-2001_main.jpg_tmb.jpg,SUVS,Gasoline
ISUZU Hombre Crew Cab,https://s1.cdn.autoevolution.com/images/models/thumb/ISUZU_Hombre-CrewCab-1995_main.jpg_tmb.jpg,TRUCKS,Gasoline
ISUZU i-Series,https://s1.cdn.autoevolution.com/images/models/thumb/ISUZU_I-Double-Cab-2005_main.jpg_tmb.jpg,TRUCKS,Gasoline
ISUZU MU-7,https://s1.cdn.autoevolution.com/images/models/thumb/ISUZU_MU-7-2004_main.jpg_tmb.jpg,SUVS,Diesel
ISUZU Rodeo / D-Max,https://s1.cdn.autoevolution.com/images/models/thumb/ISUZU_D-Max-Arctic-Trucks-AT35-2016_main.jpg_tmb.jpg,TRUCKS,Diesel · Gasoline
ISUZU Trooper 3 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/ISUZU_Trooper-3-Doors-1998_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
ISUZU Trooper 5 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/ISUZU_Trooper-5-Doors-1998_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
