Model,Image,Category,Engine Type
JEEP Gladiator,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Gladiator-2023_main.jpg_tmb.jpg,TRUCKS,Diesel · Gasoline
JEEP Wrangler,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Wrangler-Willys-2023_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Hybrid gasoline · Plug-in hybrid
JEEP Renegade,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Renegade-2018_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Hybrid gasoline ·
JEEP Compass,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Compass-2021_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Hybrid gasoline
JEEP Grand Cherokee,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Grand-Cherokee-2021_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · · Hybrid gasoline
JEEP Wrangler Unlimited,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Wrangler-Unlimited-Rubicon-2018_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
JEEP Wagoneer,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Wagoneer-S-2024_main.jpg_tmb.jpg,SUVS,Gasoline · Mild hybrid · Electric
JEEP Wrangler Rubicon,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Wrangler-Rubicon-392-2023_main.jpg_tmb.jpg,SUVS,Plug-in hybrid
JEEP Avenger,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Avenger-2022_main.jpg_tmb.jpg,SUVS,Electric
JEEP Cherokee,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Cherokee-2018_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
JEEP Cherokee/Liberty,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Cherokee-Liberty-2007_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
JEEP Commander,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Commander-2008_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
JEEP Patriot,https://s1.cdn.autoevolution.com/images/models/thumb/JEEP_Patriot-2007_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
