Model,Image,Category,Engine Type
LEXUS ES,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_ES-2023_main.jpg_tmb.jpg,SEDANS,Gasoline · Hybrid · Hybrid gasoline
LEXUS GX,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_GX-2023_main.jpg_tmb.jpg,SUVS,Gasoline
LEXUS RX,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_RX-2022_main.jpg_tmb.jpg,SUVS,Gasoline · Hybrid · Hybrid gasoline
LEXUS NX,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_NX-2021_main.jpg_tmb.jpg,SUVS,Gasoline · Hybrid · Hybrid gasoline
LEXUS LX,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_LX-2021_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
LEXUS IS,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_IS-2020_main.jpg_tmb.jpg,SEDANS,Diesel · Gasoline · Hybrid gasoline · Hybrid
LEXUS LS,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_LS-2020_main.jpg_tmb.jpg,SEDANS,Gasoline · Hybrid gasoline · Hybrid
LEXUS RC,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_RC-2018_main.jpg_tmb.jpg,COUPES,Gasoline · Hybrid
LEXUS CT,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_CT-2017_main.jpg_tmb.jpg,HATCHBACKS,Hybrid
LEXUS LBX,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_LBX-2023_main.jpg_tmb.jpg,SUVS,Hybrid gasoline
LEXUS LM,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_LM-2023_main.jpg_tmb.jpg,VANS,Hybrid gasoline
LEXUS LC,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_LC-500-Convertible-2021_main.jpg_tmb.jpg,COUPES,Gasoline · Hybrid gasoline
LEXUS TX,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_TX-2023_main.jpg_tmb.jpg,SUVS,Gasoline · Hybrid gasoline · Plug-in hybrid
LEXUS RZ,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_RZ-450e-2022_main.jpg_tmb.jpg,SUVS,Electric
LEXUS RC F,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_RC-F-2014_main.jpg_tmb.jpg,COUPES,Gasoline
LEXUS UX,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_UX-300e-2020_main.jpg_tmb.jpg,SUVS,Gasoline · Hybrid · Electric
LEXUS GS,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_GS-2015_main.jpg_tmb.jpg,SEDANS,Gasoline · Hybrid gasoline · Hybrid
LEXUS GS F,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_GS-F-2015_main.jpg_tmb.jpg,SEDANS,Gasoline
LEXUS HS,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_HS-250h-2009_main.jpg_tmb.jpg,SEDANS,Hybrid
LEXUS LFA,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_LFA-2010_main.jpg_tmb.jpg,COUPES,Gasoline
LEXUS SC,https://s1.cdn.autoevolution.com/images/models/thumb/LEXUS_SC-2005_main.jpg_tmb.jpg,COUPES,Gasoline
