Model,Image,Category,Engine Type
MERCURY Cougar,https://s1.cdn.autoevolution.com/images/models/thumb/MERCURY_Cougar-1998_main.jpg_tmb.jpg,COUPES,Gasoline
MERCURY Grand Marquis,https://s1.cdn.autoevolution.com/images/models/thumb/MERCURY_Grand-Marquis-2008_main.jpg_tmb.jpg,SEDANS,Gasoline
MERCURY Marauder,https://s1.cdn.autoevolution.com/images/models/thumb/MERCURY_Marauder-2003_main.jpg_tmb.jpg,SEDANS,Gasoline
MERCURY Mariner,https://s1.cdn.autoevolution.com/images/models/thumb/MERCURY_Mariner-2008_main.jpg_tmb.jpg,SUVS,Gasoline · Hybrid · Hybrid gasoline
MERCURY Milan,https://s1.cdn.autoevolution.com/images/models/thumb/MERCURY_Milan-2009_main.jpg_tmb.jpg,SEDANS,Gasoline · Hybrid · Ethanol
MERCURY Montego,https://s1.cdn.autoevolution.com/images/models/thumb/MERCURY_Montego-2004_main.jpg_tmb.jpg,SEDANS,Gasoline
MERCURY Monterey,https://s1.cdn.autoevolution.com/images/models/thumb/MERCURY_Monterey-2004_main.jpg_tmb.jpg,VANS,Gasoline
MERCURY Mountaineer,https://s1.cdn.autoevolution.com/images/models/thumb/MERCURY_Mountaineer-2006_main.jpg_tmb.jpg,SUVS,Gasoline
MERCURY Sable,https://s1.cdn.autoevolution.com/images/models/thumb/MERCURY_Sable-2007_main.jpg_tmb.jpg,SEDANS,Gasoline
MERCURY Villager,https://s1.cdn.autoevolution.com/images/models/thumb/MERCURY_Villager-1998_main.jpg_tmb.jpg,VANS,Gasoline
