Model,Image,Category,Engine Type
MITSUBISHI ASX / RVR / Outlander Sport,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_ASX-2023_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Mild hybrid · Hybrid gasoline · Plug-in hybrid
MITSUBISHI Outlander / Airtrek,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Outlander-2021_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Hybrid · Mild hybrid
MITSUBISHI Eclipse Cross,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Eclipse-Cross-2021_main.jpg_tmb.jpg,SUVS,Gasoline
MITSUBISHI Mirage,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Mirage-2019_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
MITSUBISHI Mirage G4,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Mirage-G4-2016_main.jpg_tmb.jpg,SEDANS,Gasoline
MITSUBISHI Lancer,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Lancer-2017_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
MITSUBISHI L 200,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_L200-2015_main.jpg_tmb.jpg,TRUCKS,Gasoline · Diesel
MITSUBISHI Colt 5 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Colt-2023_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Hybrid gasoline
MITSUBISHI Lancer Hatchback,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Lancer-Sportback-Ralliart-2008_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
MITSUBISHI Pajero 5 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Pajero-Montero-Shogun--2006_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
MITSUBISHI Pajero 3 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Pajero-Montero-Shogun-3-doors-2006_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
MITSUBISHI Space Star,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Space-Star-2013_main.jpg_tmb.jpg,VANS,Gasoline · Diesel
MITSUBISHI Pajero Pinin / Shogun Pinin / Montero iO,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Pajero-Pinin---Shogun-Pinin----Montero-iO-LWB-2001_main.jpg_tmb.jpg,SUVS,Gasoline
MITSUBISHI i-MiEV,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_i-MiEV-2009_main.jpg_tmb.jpg,HATCHBACKS,Electric
MITSUBISHI Attrage,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Attrage-2013_main.jpg_tmb.jpg,SEDANS,Gasoline
MITSUBISHI 3000 GT,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_3000-GT-1994_main.jpg_tmb.jpg,COUPES,Gasoline
MITSUBISHI Carisma Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Carisma-Sedan-1995_main.jpg_tmb.jpg,SEDANS,Gasoline
MITSUBISHI Colt 3 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Colt-3-Doors-2008_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
MITSUBISHI Colt CZC,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Colt-CZC-2006_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
MITSUBISHI Eclipse,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Eclipse-2009_main.jpg_tmb.jpg,COUPES,Gasoline
MITSUBISHI Eclipse Spyder,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Eclipse-Spyder-2009_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
MITSUBISHI Endeavor,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Endeavor-2008_main.jpg_tmb.jpg,SUVS,Gasoline
MITSUBISHI Galant,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Galant-2008_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
MITSUBISHI Galant Station Wagon,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Galant-Station-Wagon-1997_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel
MITSUBISHI Grandis,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Grandis-2004_main.jpg_tmb.jpg,VANS,Diesel · Gasoline
MITSUBISHI L300,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_L300-1993_main.jpg_tmb.jpg,VANS,Gasoline · Diesel
MITSUBISHI Lancer Combi,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Lancer-Wagon-2002_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel
MITSUBISHI Lancer Evolution,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Lancer-Evolution-X-2008_main.jpg_tmb.jpg,SEDANS,Gasoline
MITSUBISHI Raider Crew Cab,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Raider-Extended-Cab-2005_main.jpg_tmb.jpg,TRUCKS,Gasoline
MITSUBISHI Raider Double Cab,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Raider-Double-Cab-2005_main.jpg_tmb.jpg,TRUCKS,Gasoline
MITSUBISHI Sigma,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Sigma-1991_main.jpg_tmb.jpg,SEDANS,Gasoline
MITSUBISHI Space Runner,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Space-Runner-1992_main.jpg_tmb.jpg,VANS,Gasoline · Diesel
MITSUBISHI Starion,https://s1.cdn.autoevolution.com/images/models/thumb/MITSUBISHI_Starion-1982_main.jpg_tmb.jpg,COUPES,Gasoline
