Model,Image,Category,Engine Type
OLDSMOBILE 442 Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/OLDSMOBILE_442-Convertible-1970_main.jpg_tmb.jpg,,Gasoline
OLDSMOBILE 88,https://s1.cdn.autoevolution.com/images/models/thumb/OLDSMOBILE_88-1949_main.jpg_tmb.jpg,,Gasoline
OLDSMOBILE Alero coupe,https://s1.cdn.autoevolution.com/images/models/thumb/OLDSMOBILE_Alero-coupe-1999_main.jpg_tmb.jpg,,Gasoline
OLDSMOBILE Alero sedan,https://s1.cdn.autoevolution.com/images/models/thumb/OLDSMOBILE_Alero-sedan-1999_main.jpg_tmb.jpg,,Gasoline
OLDSMOBILE Aurora,https://s1.cdn.autoevolution.com/images/models/thumb/OLDSMOBILE_Aurora-2000_main.jpg_tmb.jpg,,Gasoline
OLDSMOBILE Bravada,https://s1.cdn.autoevolution.com/images/models/thumb/OLDSMOBILE_Bravada-2002_main.jpg_tmb.jpg,,Gasoline
OLDSMOBILE Curved Dash,https://s1.cdn.autoevolution.com/images/models/thumb/OLDSMOBILE_Curved-Dash-1901_main.jpg_tmb.jpg,,Gasoline
OLDSMOBILE Cutlass,https://s1.cdn.autoevolution.com/images/models/thumb/OLDSMOBILE_Cutlass-S-1975_main.jpg_tmb.jpg,,Gasoline
OLDSMOBILE Intrigue,https://s1.cdn.autoevolution.com/images/models/thumb/OLDSMOBILE_Intrigue-1998_main.jpg_tmb.jpg,,Gasoline
OLDSMOBILE Silhouette,https://s1.cdn.autoevolution.com/images/models/thumb/OLDSMOBILE_Silhouette-1999_main.jpg_tmb.jpg,,Gasoline
OLDSMOBILE Toronado,https://s1.cdn.autoevolution.com/images/models/thumb/OLDSMOBILE_Toronado-1986_main.jpg_tmb.jpg,,Gasoline
