Model,Image,Category,Engine Type
VOLKSWAGEN Jetta GLI,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Jetta-GLI-2024_main.jpg_tmb.jpg,SEDANS,Gasoline
VOLKSWAGEN Golf R,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Golf-R-2024_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
VOLKSWAGEN Jetta / Vento / Bora,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Jetta-2024_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Natural gas · Hybrid gasoline
VOLKSWAGEN Golf R Variant,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Golf-R-Variant-2024_main.jpg_tmb.jpg,WAGONS,Gasoline
VOLKSWAGEN Golf Variant,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Golf-Variant-2024_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel · Natural gas · Mild hybrid
VOLKSWAGEN Golf GTI / GTD / GTE,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Golf-GTE-2024_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Hybrid gasoline · Hybrid
VOLKSWAGEN Golf 5 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Golf-2024_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Natural gas · Hybrid
VOLKSWAGEN Tiguan (US),https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Tiguan-2021_main.jpg_tmb.jpg,SUVS,Gasoline
VOLKSWAGEN ID.3,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_ID-3-2023_main.jpg_tmb.jpg,HATCHBACKS,Electric
VOLKSWAGEN Passat Variant,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Passat-Variant-2023_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel · Natural gas · Plug-in hybrid · Mild hybrid
VOLKSWAGEN Touareg R,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Touareg-R-2023_main.jpg_tmb.jpg,SUVS,Hybrid · Plug-in hybrid
VOLKSWAGEN Atlas,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Atlas-2023_main.jpg_tmb.jpg,SUVS,Gasoline
VOLKSWAGEN Touareg,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Touareg-2023_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Hybrid · Plug-in hybrid
VOLKSWAGEN Multivan,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Multivan--T7--2021_main.jpg_tmb.jpg,VANS,Diesel · Gasoline · Hybrid gasoline
VOLKSWAGEN Polo 5 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Polo-2021_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
VOLKSWAGEN Polo GTI,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Polo-GTI-2021_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
VOLKSWAGEN T-Roc,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_T-Roc-2021_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
VOLKSWAGEN T-Roc R,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_T-Roc-R-2021_main.jpg_tmb.jpg,SUVS,Gasoline ·
VOLKSWAGEN T-Roc Cabriolet,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_T-Roc-Cabriolet-2021_main.jpg_tmb.jpg,SUVS,Gasoline ·
VOLKSWAGEN Arteon,https://s1.cdn.autoevolution.com/images/models/thumb/VOLKSWAGEN_Arteon--US--2022_main.jpg_tmb.jpg,SEDANS,Diesel · Gasoline · Hybrid gasoline
