Model,Image,Category,Engine Type
BMW 4 Series Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_4-Series-Convertible-2024_main.jpg_tmb.jpg,CONVERTIBLES,Diesel · Gasoline · Mild hybrid diesel · Mild hybrid ·
BMW 4 Series Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_4-Series-Coupe-2024_main.jpg_tmb.jpg,COUPES,Diesel · Gasoline · Mild hybrid diesel · Mild hybrid
BMW i4,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_i4-2024_main.jpg_tmb.jpg,SUVS,Electric
BMW X3,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_X3-2024_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Mild hybrid · Mild hybrid diesel · Hybrid gasoline
BMW M4,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_M4-Coupe-2024_main.jpg_tmb.jpg,COUPES,Gasoline
BMW 3 Series Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_3-Series-Sedan-2024_main.jpg_tmb.jpg,SEDANS,Diesel · Gasoline · Hybrid · Hybrid gasoline · Mild hybrid diesel · Mild hybrid
BMW M4 Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_M4-Convertible-2024_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BMW 2 Series Gran Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_2-Series-Gran-Coupe-2024_main.jpg_tmb.jpg,COUPES,Diesel · Gasoline · Mild hybrid · Mild hybrid diesel
BMW 3 Series Touring,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_3-Series-Touring-2024_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel · Mild hybrid diesel · Hybrid gasoline · Mild hybrid
BMW 4 Series Gran Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_4-Series-Gran-Coupe-2024_main.jpg_tmb.jpg,COUPES,Diesel · Gasoline · Mild hybrid diesel · Mild hybrid
BMW 5 Series Touring,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_5-Series-Touring-2024_main.jpg_tmb.jpg,WAGONS,Diesel · Gasoline · Mild hybrid diesel · Mild hybrid
BMW 1 Series,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_1-Series-2024_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Mild hybrid
BMW M4 CS,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_M4-CS--2024_main.jpg_tmb.jpg,COUPES,Gasoline
BMW M2,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_M2-2024_main.jpg_tmb.jpg,COUPES,Gasoline
BMW M3 Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/BMW_M3-Sedan-2024_main.jpg_tmb.jpg,SEDANS,Gasoline
