Model,Image,Category,Engine Type
BUGATTI Chiron,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Chiron-Super-Sport-300-2020_main.jpg_tmb.jpg,COUPES,Gasoline
BUGATTI Bolide,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Bolide-2022_main.jpg_tmb.jpg,COUPES,Gasoline
BUGATTI Centodieci,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Centodieci-2019_main.jpg_tmb.jpg,COUPES,Gasoline
BUGATTI Mistral,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_W16-Mistral-2022_main.jpg_tmb.jpg,CONVERTIBLES,
BUGATTI La Voiture Noire,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_La-Voiture-Noire-2019_main.jpg_tmb.jpg,COUPES,Gasoline
BUGATTI Divo,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Divo-2018_main.jpg_tmb.jpg,COUPES,Gasoline
BUGATTI Tourbillon,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Tourbillon-2024_main.jpg_tmb.jpg,COUPES,Plug-in hybrid
BUGATTI EB 110,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_EB-110-SS-1992_main.jpg_tmb.jpg,COUPES,Gasoline
BUGATTI Type 10,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-10-1908_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUGATTI Type 101,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-101-1951_main.png_tmb.png,CONVERTIBLES,Gasoline
BUGATTI Type 18,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-18-1912_main.png_tmb.png,CONVERTIBLES,Gasoline
BUGATTI Type 19,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-19-Bebe-1911_main.png_tmb.png,CONVERTIBLES,Gasoline
BUGATTI Type 2,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-2-1900_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
BUGATTI Type 23,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-23-1913_main.png_tmb.png,CONVERTIBLES,Gasoline
BUGATTI Type 251,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-251-1955_main.png_tmb.png,CONVERTIBLES,Gasoline
BUGATTI Type 30,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-30-1922_main.png_tmb.png,CONVERTIBLES,Gasoline
BUGATTI Type 38,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-38-1926_main.png_tmb.png,CONVERTIBLES,Gasoline
BUGATTI Type 40,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-40-1926_main.png_tmb.png,CONVERTIBLES,Gasoline
BUGATTI Type 41,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-41-Royale-1929_main.png_tmb.png,SEDANS,Gasoline
BUGATTI Type 43,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-43-A-1931_main.png_tmb.png,CONVERTIBLES,Gasoline
BUGATTI Type 44,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-44-1927_main.png_tmb.png,CONVERTIBLES,Gasoline
BUGATTI Type 46,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-46-1929_main.png_tmb.png,COUPES,Gasoline
BUGATTI Type 49,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-49-1930_main.png_tmb.png,CONVERTIBLES,Gasoline
BUGATTI Type 5,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-5-1903_main.png_tmb.png,COUPES,Gasoline
BUGATTI Type 50,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-50-1930_main.png_tmb.png,COUPES,Gasoline
BUGATTI Type 55,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-55-1932_main.png_tmb.png,CONVERTIBLES,Gasoline
BUGATTI Type 57,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-57-SC-1937_main.png_tmb.png,COUPES,Gasoline
BUGATTI Type 64,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Type-64-1939_main.png_tmb.png,COUPES,Gasoline
BUGATTI Veyron,https://s1.cdn.autoevolution.com/images/models/thumb/BUGATTI_Grand-Sport-Vitesse-2012_main.jpg_tmb.jpg,COUPES,Gasoline
