Model,Image,Category,Engine Type
HYUNDAI Bayon,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Bayon-2024_main.jpg_tmb.jpg,SUVS,Mild hybrid · Gasoline
HYUNDAI i30,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_i30-2024_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Mild hybrid
HYUNDAI i30 Estate,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_i30-Estate-2024_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel · Mild hybrid
HYUNDAI Santa Cruz,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Santa-Cruz-2024_main.jpg_tmb.jpg,TRUCKS,Gasoline
HYUNDAI i30 Fastback,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_i30-Fastback-2024_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Mild hybrid
HYUNDAI i10,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_i10-2023_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Natural gas
HYUNDAI Elantra N,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Elantra-N-2023_main.jpg_tmb.jpg,SEDANS,· Gasoline
HYUNDAI i20,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_i20-2023_main.jpg_tmb.jpg,HATCHBACKS,Diesel · Gasoline · Hybrid · Hybrid gasoline
HYUNDAI Sonata,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Sonata-2023_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Hybrid
HYUNDAI Elantra Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Elantra-2023_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Hybrid
HYUNDAI Santa Fe,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Santa-Fe-2023_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Hybrid gasoline
HYUNDAI ix35 / Tucson,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Tucson--US--2023_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Ethanol · Hybrid · Hybrid gasoline
HYUNDAI Kona Electric,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Kona-Electric--US--2023_main.jpg_tmb.jpg,SUVS,Electric
HYUNDAI Ioniq,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Ioniq-5-2021_main.jpg_tmb.jpg,HATCHBACKS,Hybrid gasoline · Electric · Hybrid
HYUNDAI Palisade,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Palisade-2022_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
HYUNDAI Kona,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Kona--US--2023_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Hybrid
HYUNDAI i30 N,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_i30-N-2020_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
HYUNDAI i20 Active,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_i20-Active-2018_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
HYUNDAI i40 wagon,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_i40-Wagon-2018_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel
HYUNDAI Veloster,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Veloster-N-2018_main.jpg_tmb.jpg,COUPES,Gasoline
HYUNDAI Accent Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Accent-2017_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
HYUNDAI Elantra GT,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Elantra-GT-2017_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
HYUNDAI Grandeur / Azera,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Grandeur-2022_main.jpg_tmb.jpg,SEDANS,Diesel · Gasoline · Hybrid
HYUNDAI Ioniq 9,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Ioniq-9-2024_main.jpg_tmb.jpg,SUVS,
HYUNDAI Ioniq 5,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Ioniq-5-N-2023_main.jpg_tmb.jpg,HATCHBACKS,Electric
HYUNDAI Ioniq 6,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Ioniq-6-2022_main.jpg_tmb.jpg,SEDANS,Electric
HYUNDAI i20 N,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_i20-N-2020_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
HYUNDAI Mistra,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_Mistra-2014_main.jpg_tmb.jpg,SEDANS,Gasoline
HYUNDAI NEXO,https://s1.cdn.autoevolution.com/images/models/thumb/HYUNDAI_NEXO-2018_main.jpg_tmb.jpg,SUVS,
