Model,Image,Category,Engine Type
JAGUAR F-Pace SVR,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_F-Pace-SVR-2020_main.jpg_tmb.jpg,SUVS,Gasoline
JAGUAR F-Type Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_F-Type-Coupe-2020_main.jpg_tmb.jpg,COUPES,Gasoline
JAGUAR F-Pace,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_F-Pace-2020_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Mild hybrid diesel · Hybrid · Mild hybrid
JAGUAR F-Type Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_F-Type-Convertible-2020_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
JAGUAR F-Type SVR Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_F-Type-SVR-Coupe-2017_main.jpg_tmb.jpg,COUPES,Gasoline
JAGUAR XF Sportbrake,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_XF-Sportbrake--X260--2020_main.jpg_tmb.jpg,WAGONS,Diesel · Gasoline · Mild hybrid diesel
JAGUAR XE,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_XE-2019_main.jpg_tmb.jpg,SEDANS,Diesel · Gasoline
JAGUAR XJR,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_XJR575-2017_main.jpg_tmb.jpg,SEDANS,Gasoline ·
JAGUAR XF,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_XF--X260--2020_main.jpg_tmb.jpg,SEDANS,Diesel · Gasoline · Mild hybrid diesel
JAGUAR E-Pace,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_E-Pace-2017_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
JAGUAR I-Pace,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_I-PACE-2018_main.jpg_tmb.jpg,SUVS,Electric
JAGUAR XE SV,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_XE-SV-Project-8-2017_main.jpg_tmb.jpg,SEDANS,Gasoline
JAGUAR F-Type SVR,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_F-Type-SVR-2016_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
JAGUAR S-Type,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_S-Type-2004_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
JAGUAR S-Type R,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_S-Type-R-2004_main.jpg_tmb.jpg,SEDANS,Gasoline
JAGUAR X-Type,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_X-Type-2001_main.jpg_tmb.jpg,SEDANS,Diesel · Gasoline
JAGUAR X-Type Estate,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_X-Type-Estate-2004_main.jpg_tmb.jpg,WAGONS,Diesel · Gasoline
JAGUAR XFR,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_Jaguar-XFR-2009_main.jpg_tmb.jpg,SEDANS,Gasoline
JAGUAR XJ,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_XJ-2012_main.png_tmb.png,SEDANS,Diesel · Gasoline
JAGUAR XJ220,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_Xj220-1992_main.jpg_tmb.jpg,COUPES,Gasoline
JAGUAR XK,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_XK-2009_main.jpg_tmb.jpg,COUPES,Gasoline
JAGUAR XK Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_XK-Cabrio-2010_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
JAGUAR XKR,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_XKR-S-2011_main.jpg_tmb.jpg,COUPES,Gasoline
JAGUAR XKR Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/JAGUAR_XKR-S-Convertible-2011_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
