Model,Image,Category,Engine Type
KIA Carnival / Sedona,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Carnival--US--2024_main.jpg_tmb.jpg,VANS,Gasoline · Diesel
KIA K5,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_K5-2024_main.jpg_tmb.jpg,SEDANS,Gasoline
KIA Picanto,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Picanto-2023_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel ·
KIA Seltos,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Seltos-2022_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
KIA XCeed,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_XCeed-2022_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
KIA Telluride,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Telluride-2022_main.jpg_tmb.jpg,SUVS,Gasoline
KIA Soul,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Soul-2022_main.jpg_tmb.jpg,HATCHBACKS,Diesel · Gasoline · Electric
KIA Sportage,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Sportage-HEV--2022_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Hybrid gasoline
KIA Ceed,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Ceed-2021_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Mild hybrid diesel
KIA Stinger,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Stinger-2021_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
KIA Forte,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Forte-2021_main.jpg_tmb.jpg,SEDANS,Gasoline
KIA Optima / Magentis,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_K5-2020_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Hybrid gasoline
KIA Sorento,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Sorento-2020_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Hybrid · Plug-in hybrid
KIA Niro,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Niro-2019_main.jpg_tmb.jpg,SUVS,Hybrid gasoline · Hybrid · Electric · Gasoline
KIA Rio Hatchback,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Rio-2020_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Mild hybrid
KIA Optima Sportswagon,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Optima-Sportswagon-2018_main.jpg_tmb.jpg,WAGONS,Diesel · Gasoline · Hybrid gasoline
KIA K9,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_K900-K9-2018_main.jpg_tmb.jpg,SEDANS,Gasoline
KIA Pro cee'd,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Proceed-2018_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
KIA K7 / Cadenza,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_K7---Cadenza-2016_main.jpg_tmb.jpg,SEDANS,Gasoline
KIA Forte 5 Door,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Forte-5-Door-2016_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
KIA Rondo,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_Rondo-2013_main.jpg_tmb.jpg,VANS,Gasoline · Diesel
KIA cee'd,https://s1.cdn.autoevolution.com/images/models/thumb/KIA_cee--039-d-2018_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Hybrid
