Model,Image,Category,Engine Type
LAMBORGHINI Huracan,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Tecnica-2022_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Huracan Spyder,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Huracan-Evo-Spyder-2019_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
LAMBORGHINI Aventador Roadster,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_LP780-4-Ultimae-Roadster-2022_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
LAMBORGHINI Aventador,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_LP780-4-Ultimae-2022_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Sian Roadster,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Sian-Roadster-2020_main.jpg_tmb.jpg,CONVERTIBLES,Hybrid gasoline
LAMBORGHINI Centenario Roadster,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Centenario-Roadster-2016_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Urus,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Urus-SE-2024_main.jpg_tmb.jpg,SUVS,Gasoline
LAMBORGHINI Sian,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Sian-2019_main.jpg_tmb.jpg,COUPES,Hybrid gasoline
LAMBORGHINI Temerario,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Temerario-2024%20_main.jpg_tmb.jpg,COUPES,Plug-in hybrid
LAMBORGHINI Revuelto,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Revuelto-2023_main.jpg_tmb.jpg,COUPES,Plug-in hybrid
LAMBORGHINI Veneno Roadster,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Veneno-Roadster-2014_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
LAMBORGHINI 350 GT/ 400 GT,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_400-GT-1965_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI 350 GTS,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_350-GTS-1965_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
LAMBORGHINI Centenario,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Centenario-2016_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Countach,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Countach-25th-Anniversary-1989_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Diablo,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Diablo-VT-6-0-2000_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Diablo Roadster,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Diablo-Roadster-1999_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
LAMBORGHINI Espada,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Espada-1968_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Gallardo,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_LP570-4-Squadra-Corse-2013_main.jpg_tmb.jpg,COUPES,Gasoline ·
LAMBORGHINI Gallardo Spyder,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Gallardo-LP-550-2-Spyder-2012_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
LAMBORGHINI Islero,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Islero-1968_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Jalpa,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Jalpa-1981_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Jarama,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Jarama-S-1973_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI LM 002,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_LM-002-1986_main.jpg_tmb.jpg,SUVS,Gasoline
LAMBORGHINI Miura,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Miura-SV-J-1971_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Murcielago,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Murcielago-LP-670-4-SuperVeloce-2009_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Murcielago Roadster,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_MURCIELAGO-LP-640-Roadster-2007_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
LAMBORGHINI Reventon,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Reventon-2008_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Silhouette,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Silhouette-P300-1976_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
LAMBORGHINI Urraco,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Urraco-1972_main.jpg_tmb.jpg,COUPES,Gasoline
LAMBORGHINI Veneno,https://s1.cdn.autoevolution.com/images/models/thumb/LAMBORGHINI_Veneno-2013_main.jpg_tmb.jpg,COUPES,Gasoline
