Model,Image,Category,Engine Type
LAND ROVER Range Rover Velar,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Range-Rover-Velar-2023_main.jpg_tmb.jpg,SUVS,Diesel · Mild hybrid diesel · Gasoline · Mild hybrid ·
LAND ROVER Range Rover Sport,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Range-Rover-Sport-SV-2023_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Hybrid · Mild hybrid diesel · Hybrid gasoline · Mild hybrid · Plug-in hybrid
LAND ROVER Range Rover,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Range-Rover-LWB-2021_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Hybrid diesel · · Mild hybrid diesel · Mild hybrid
LAND ROVER Discovery Sport,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Discovery-Sport-2019_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
LAND ROVER Defender 90,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Defender-90-2019_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
LAND ROVER Range Rover Evoque,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Range-Rover-Evoque-2023_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Mild hybrid · Mild hybrid diesel ·
LAND ROVER Range Rover Sport SVR,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Range-Rover-Sport-SVR-2017_main.jpg_tmb.jpg,SUVS,Gasoline
LAND ROVER Range Rover PHEV,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Range-Rover-PHEV-2017_main.jpg_tmb.jpg,SUVS,Hybrid · Hybrid diesel
LAND ROVER Defender 110,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Defender-110-2019_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Hybrid gasoline · Mild hybrid diesel
LAND ROVER Discovery,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Discovery-2017_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
LAND ROVER Range Rover L,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Range-Rover-L-2014_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
LAND ROVER Discovery SVX,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Discovery-SVX-2017_main.jpg_tmb.jpg,SUVS,Gasoline
LAND ROVER Defender Octa,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Defender-Octa-2024_main.jpg_tmb.jpg,SUVS,Mild hybrid
LAND ROVER Range Rover Sport PHEV,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Range-Rover-Sport-PHEV-2017_main.jpg_tmb.jpg,SUVS,Plug-in hybrid
LAND ROVER Range Rover Evoque Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Range-Rover-Evoque-Convertible-2016_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline · Diesel
LAND ROVER Defender 130,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Defender-130-2022_main.jpg_tmb.jpg,SUVS,Mild hybrid diesel · Mild hybrid
LAND ROVER Freelander,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_LR2-2008_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
LAND ROVER Range Rover 3 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/LAND-ROVER_Range-ROver-3-Doors-1988_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
