Model,Image,Category,Engine Type
LOTUS Emira,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_Emira-2021_main.jpg_tmb.jpg,COUPES,Gasoline
LOTUS Elise,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_Sport-240-Final-Edition-2021_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
LOTUS Exige,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_Sport-390-Final-Edition-2021_main.jpg_tmb.jpg,COUPES,Gasoline
LOTUS Evora,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_Evora-GT--North-America--2019_main.jpg_tmb.jpg,COUPES,Gasoline
LOTUS Eletre,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_Eletre-2022_main.jpg_tmb.jpg,SUVS,
LOTUS Evija,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_Evija-2020_main.jpg_tmb.jpg,COUPES,Electric
LOTUS 3 Eleven,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_3-Eleven-430-2018_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
LOTUS Emeya,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_Emira-2023_main.jpg_tmb.jpg,COUPES,
LOTUS 2 Eleven,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_2-Eleven-2007_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
LOTUS Elan,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_Elan-Roadster-1989_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
LOTUS Elite,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_Elite-1973_main.jpg_tmb.jpg,COUPES,Gasoline
LOTUS Esprit,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_Esprit-1976_main.jpg_tmb.jpg,COUPES,Gasoline
LOTUS Europa,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_Europa-2006_main.jpg_tmb.jpg,COUPES,Gasoline
LOTUS Excel,https://s1.cdn.autoevolution.com/images/models/thumb/LOTUS_Excel-1982_main.jpg_tmb.jpg,COUPES,Gasoline
