Model,Image,Category,Engine Type
MINI Classic,https://s1.cdn.autoevolution.com/images/models/thumb/MINI_Cooper-S-5-door-2024_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
MINI Clubman,https://s1.cdn.autoevolution.com/images/models/thumb/MINI_Clubman-2019_main.jpg_tmb.jpg,VANS,Gasoline · Diesel
MINI Countryman,https://s1.cdn.autoevolution.com/images/models/thumb/MINI_Countryman-SE-ALL4-2023_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Hybrid · Electric · Mild hybrid
MINI Hatch,https://s1.cdn.autoevolution.com/images/models/thumb/MINI_Cooper-SE-2023_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Electric
MINI Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/MINI_Cooper-SE-Convertible-2022_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline · Diesel · Electric
MINI Aceman,https://s1.cdn.autoevolution.com/images/models/thumb/MINI_Aceman-2024_main.jpg_tmb.jpg,SUVS,
MINI Clubvan,https://s1.cdn.autoevolution.com/images/models/thumb/MINI_Clubvan-2012_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
MINI Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/MINI_Mini-Coupe-2012_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline · Diesel
MINI Paceman,https://s1.cdn.autoevolution.com/images/models/thumb/MINI_Paceman-2013_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
MINI Roadster,https://s1.cdn.autoevolution.com/images/models/thumb/MINI_Cooper-Roadster-2011_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline · Diesel
