Model,Image,Category,Engine Type
MASERATI GranCabrio,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_GranCabrio-Trofeo-2024_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline · Electric
MASERATI Ghibli,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_Ghibli-Trofeo-2020_main.jpg_tmb.jpg,COUPES,Gasoline · Diesel · Mild hybrid
MASERATI Levante,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_Levante-Trofeo-2020_main.jpg_tmb.jpg,SUVS,Hybrid gasoline · Diesel · Gasoline
MASERATI GranTurismo,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_Modena-2022_main.jpg_tmb.jpg,COUPES,Gasoline · Electric
MASERATI Quattroporte,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_Quattroporte-Trofeo-2020_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
MASERATI Grecale Trofeo,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_Grecale-Trofeo-2022_main.jpg_tmb.jpg,SUVS,Gasoline
MASERATI MC20,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_Cielo-2022_main.jpg_tmb.jpg,COUPES,Gasoline
MASERATI Grecale,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_Grecale-Folgore-2023_main.jpg_tmb.jpg,SUVS,Electric · Mild hybrid
MASERATI Bora,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_Bora-1971_main.jpg_tmb.jpg,COUPES,Gasoline
MASERATI Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_Coupe-2002_main.jpg_tmb.jpg,COUPES,Gasoline
MASERATI GranSport,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_GranSport-2004_main.jpg_tmb.jpg,COUPES,Gasoline
MASERATI Indy,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_Indy-1969_main.jpg_tmb.jpg,COUPES,Gasoline
MASERATI MC 12,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_MC-12-2004_main.jpg_tmb.jpg,COUPES,Gasoline
MASERATI Merak,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_Merak-1974_main.jpg_tmb.jpg,COUPES,Gasoline
MASERATI Quattroporte Sport GT S,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_Sport-GT-S-2009_main.jpg_tmb.jpg,SEDANS,Gasoline
MASERATI Spyder,https://s1.cdn.autoevolution.com/images/models/thumb/MASERATI_GranSport-Spyder-2006_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
