Model,Image,Category,Engine Type
MAZDA 2 / Demio,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_2-2023_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Mild hybrid · Hybrid gasoline
MAZDA 3 / Axela Hatchback,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_3---Axela-Hatchback-2018_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
MAZDA CX-3,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_CX-3-218_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
MAZDA 3 / Axela Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_Mazda-3-2018_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
MAZDA 6 / Atenza Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_6---Atenza-Sedan-2018_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
MAZDA CX-5,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_CX-5-2016_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
MAZDA CX-9,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_CX-9-2016_main.jpg_tmb.jpg,SUVS,Gasoline
MAZDA MX-5 / Miata,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_MX-5---Miata-RF-2016_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
MAZDA 6 / Atenza Wagon,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_6---Atenza-Wagon-2015_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel
MAZDA 5 / Premacy,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_5---Premacy-2010_main.jpg_tmb.jpg,VANS,Gasoline · Diesel
MAZDA CX-30,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_CX-30-2019_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
MAZDA CX-8,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_CX-8-2017_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
MAZDA Flair,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_Flair-2014_main.jpg_tmb.jpg,VANS,Gasoline
MAZDA 6e,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_6e-2025_main.jpg_tmb.jpg,SEDANS,Electric
MAZDA Biante,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_Biante-2008_main.jpg_tmb.jpg,VANS,Gasoline
MAZDA CX-80,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_CX-80-2024_main.jpg_tmb.jpg,SUVS,Plug-in hybrid · Mild hybrid diesel
MAZDA CX-50,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_CX-50-2021_main.jpg_tmb.jpg,SUVS,Gasoline
MAZDA CX-90,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_CX-90-2023_main.jpg_tmb.jpg,SUVS,Plug-in hybrid · Mild hybrid
MAZDA CX-60,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_CX-60-2022_main.jpg_tmb.jpg,SUVS,Hybrid gasoline
MAZDA MX-30,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_MX-30-e-Skyactiv-R-EV-2023_main.jpg_tmb.jpg,SUVS,Electric · Plug-in hybrid
MAZDA CX-70,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_CX-70-2024_main.jpg_tmb.jpg,SUVS,Plug-in hybrid · Mild hybrid
MAZDA 121,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_121--Revue--Mk-2--1991_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
MAZDA 2 / Demio - 3 doors,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_2-2007_main.png_tmb.png,HATCHBACKS,Gasoline
MAZDA 2 / Demio - Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_2---Demio---sedan-2008_main.png_tmb.png,SEDANS,Gasoline
MAZDA 3 MPS / MAZDASPEED 3,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_MPS---MAZDASPEED3-2009_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
MAZDA 323 Hatchback,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_323-F-1994_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
MAZDA 323 Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_323--Mk-2--Sedan-1989_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
MAZDA 323 Station Wagon,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_323--BF--Station-Wagon-1986_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel
MAZDA 6 / Atenza Hatchback,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_6--Atenza-Hatchback-2008_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
MAZDA 626 Hatchback,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_626--Mk-5--Hatchback-1997_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
MAZDA 626 Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_626--Mk-5--Sedan-1997_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
MAZDA 626 Station Wagon,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_626--Mk-3--Station-Wagon-1988_main.jpg_tmb.jpg,WAGONS,Gasoline
MAZDA B Series / Bravo Dual Cab,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_B-Series---Bravo-Dual-Cab-1999_main.jpg_tmb.jpg,TRUCKS,Gasoline · Diesel
MAZDA B Series / Bravo Freestyle Cab,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_B-Series---Bravo-Freestyle-Cab-1999_main.jpg_tmb.jpg,TRUCKS,Gasoline · Diesel
MAZDA BT-50,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_BT-50-2018_main.jpg_tmb.jpg,TRUCKS,Diesel · Gasoline
MAZDA CX-7,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_CX-7-2009_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
MAZDA Flairwagon,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_Flairwagon-2012_main.png_tmb.png,VANS,Gasoline
MAZDA MX-3,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_MX-3-1991_main.jpg_tmb.jpg,COUPES,Gasoline
MAZDA MX-6,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_MX-6-1993_main.jpg_tmb.jpg,COUPES,Gasoline
MAZDA RX-7,https://s1.cdn.autoevolution.com/images/models/thumb/MAZDA_RX-7--Mk-3--1992_main.jpg_tmb.jpg,COUPES,Gasoline
