Model,Image,Category,Engine Type
NISSAN Armada,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_Armada-2024_main.jpg_tmb.jpg,SUVS,Gasoline
NISSAN Qashqai,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_Qashqai-2024_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Mild hybrid · Electric
NISSAN Murano,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_Murano-2024_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Hybrid gasoline
NISSAN Sentra,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_Sentra-2023_main.jpg_tmb.jpg,SEDANS,Gasoline
NISSAN Rogue,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_Rogue-2023_main.jpg_tmb.jpg,SUVS,Gasoline · Hybrid gasoline
NISSAN Tiida / Versa Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_Versa-2022_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
NISSAN Leaf,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_Leaf-2022_main.jpg_tmb.jpg,HATCHBACKS,Electric
NISSAN GT-R,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_GT-R-2023_main.jpg_tmb.jpg,COUPES,Gasoline
NISSAN X-Trail,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_X-Trail-2022_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Hybrid gasoline · Mild hybrid
NISSAN Altima,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_Altima-2022_main.jpg_tmb.jpg,SEDANS,Gasoline · Hybrid
NISSAN GT-R Nismo,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_GT-R-Nismo-2023_main.jpg_tmb.jpg,COUPES,Gasoline
NISSAN Navara / Frontier Double Cab,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_Frontier-2021_main.jpg_tmb.jpg,TRUCKS,Diesel · Gasoline
NISSAN Pathfinder,https://s1.cdn.autoevolution.com/images/models/thumb/NISSAN_Pathfinder-2021_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline ·
