Model,Image,Category,Engine Type
ROLLS-ROYCE Cullinan,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS-ROYCE_Cullinan-Series-II-2024%20_main.jpg_tmb.jpg,,Gasoline
ROLLS-ROYCE Ghost,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS-ROYCE_Ghost-2020_main.jpg_tmb.jpg,SEDANS,Gasoline
ROLLS-ROYCE Phantom,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS-ROYCE_Phantom-2017_main.jpg_tmb.jpg,SEDANS,Gasoline
ROLLS-ROYCE Spectre,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS-ROYCE_Spectre-2022_main.jpg_tmb.jpg,COUPES,Electric
ROLLS-ROYCE Dawn,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS-ROYCE_Dawn-2016_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
ROLLS-ROYCE Arcadia,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS-ROYCE_Arcadia-Droptail--2024_main.jpg_tmb.jpg,COUPES,
ROLLS-ROYCE La Rose Noire,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS-ROYCE_La-Rose-Noire-2023_main.jpg_tmb.jpg,CONVERTIBLES,
ROLLS-ROYCE Wraith,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS-ROYCE_Wraith-2013_main.jpg_tmb.jpg,SEDANS,Gasoline
ROLLS-ROYCE Camargue,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS%20ROYCE_Camargue-1975_main.jpg_tmb.jpg,SEDANS,Gasoline
ROLLS-ROYCE Corniche,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS-ROYCE_Corniche-V-2000_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
ROLLS-ROYCE Flying Spur,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS%20ROYCE_Flying-Spur-1994_main.jpg_tmb.jpg,SEDANS,Gasoline
ROLLS-ROYCE Park Ward,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS%20ROYCE_Park-Ward-1996_main.jpg_tmb.jpg,SEDANS,Gasoline
ROLLS-ROYCE Silver Dawn,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS%20ROYCE_Silver-Down-1996_main.jpg_tmb.jpg,SEDANS,Gasoline
ROLLS-ROYCE Silver Seraph,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS%20ROYCE_Silver-Seraph-1998_main.jpg_tmb.jpg,SEDANS,Gasoline
ROLLS-ROYCE Silver Shadow,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS-ROYCE_Silver-Shadow--1965_main.jpg_tmb.jpg,SEDANS,Gasoline
ROLLS-ROYCE Silver Shadow Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS%20ROYCE_Silver-Shadow-Coupe-1977_main.jpg_tmb.jpg,COUPES,Gasoline
ROLLS-ROYCE Silver Spirit,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS-ROYCE_Silver-Spirit-III-1993_main.jpg_tmb.jpg,SEDANS,Gasoline
ROLLS-ROYCE Silver Spur,https://s1.cdn.autoevolution.com/images/models/thumb/ROLLS-ROYCE_Silver-Spur-1995_main.jpg_tmb.jpg,SEDANS,Gasoline
