Model,Image,Category,Engine Type
SAAB 9-3 Aero,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_9-3-Aero-2014_main.jpg_tmb.jpg,SEDANS,Gasoline
SAAB 9-2X,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_9-2X-2004_main.jpg_tmb.jpg,WAGONS,Gasoline
SAAB 9-3 Convertible,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_9-3-Convertible-2009_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline · Diesel · Ethanol
SAAB 9-3 Coupe,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_9-3-Coupe-1998_main.jpg_tmb.jpg,COUPES,Gasoline · Diesel
SAAB 9-3 Sport Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_9-3-Sport-Sedan-2009_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Ethanol
SAAB 9-3 SportCombi,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_9-3-Sport-Combi-2009_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel · Ethanol
SAAB 9-3X,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_9-3X-2009_main.jpg_tmb.jpg,WAGONS,Diesel · Gasoline · Natural gas
SAAB 9-5,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_9-5-2010_main.jpg_tmb.jpg,SEDANS,Diesel · Ethanol · Gasoline · Hybrid
SAAB 9-5 SportCombi,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_9-5-Wagon-2005_main.jpg_tmb.jpg,HATCHBACKS,Diesel · Gasoline · Ethanol
SAAB 9-7X,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_9-7X-2008_main.jpg_tmb.jpg,SUVS,Gasoline
SAAB 90,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_90-1984_main.jpg_tmb.jpg,COUPES,Gasoline
SAAB 900,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_900--1993_main.jpg_tmb.jpg,COUPES,Gasoline
SAAB 900 Cabrio,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_900-cabrio-1994_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
SAAB 9000,https://s1.cdn.autoevolution.com/images/models/thumb/SAAB_9000-CD-1994_main.jpg_tmb.jpg,SEDANS,Gasoline
