Model,Image,Category,Engine Type
SUBARU Crosstrek,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Crosstrek-Wilderness-2023_main.jpg_tmb.jpg,SUVS,Gasoline · Hybrid gasoline · Plug-in hybrid
SUBARU Forester,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Forester-2023_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
SUBARU Impreza,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Impreza-5-doors-2022_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Hybrid gasoline
SUBARU Legacy,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Legacy-2022_main.jpg_tmb.jpg,SEDANS,· Gasoline · Diesel
SUBARU Outback,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Outback-Wilderness-2023_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel
SUBARU Ascent,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Ascent-2022_main.jpg_tmb.jpg,SUVS,Gasoline
SUBARU WRX,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_WRX-2021_main.jpg_tmb.jpg,SEDANS,Gasoline
SUBARU BRZ,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_BRZ-2021_main.jpg_tmb.jpg,,Gasoline
SUBARU Exiga Liberty,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Exiga-2008_main.jpg_tmb.jpg,WAGONS,Gasoline
SUBARU Solterra,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Solterra-2021_main.jpg_tmb.jpg,SUVS,Electric
SUBARU Levorg,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Levorg-2014_main.jpg_tmb.jpg,WAGONS,Gasoline
SUBARU 360,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_360-1958_main.jpg_tmb.jpg,COUPES,Gasoline
SUBARU Baja,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Baja-2003_main.jpg_tmb.jpg,TRUCKS,Gasoline
SUBARU Impreza WRX STi,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Impreza-WRX-STi-2008_main.jpg_tmb.jpg,SEDANS,Gasoline
SUBARU Justy,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Justy-2008_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
SUBARU Legacy Wagon,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Legacy-Wagon-2009_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel
SUBARU Liberty,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Liberty-Sedan-2008_main.jpg_tmb.jpg,SEDANS,Gasoline
SUBARU Mini Jumbo,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Mini-Jumbo-3-doors-1988_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
SUBARU R1,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_R1-2003_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
SUBARU R2,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_R2-2003_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
SUBARU Stella,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Stella-2006_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
SUBARU SVX,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_SVX-1992_main.jpg_tmb.jpg,COUPES,Gasoline
SUBARU Trezia,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Trezia-2010_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
SUBARU Tribeca,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Tribeca-2007_main.jpg_tmb.jpg,SUVS,Gasoline
SUBARU Vivio,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_Vivio-1992_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
SUBARU XV,https://s1.cdn.autoevolution.com/images/models/thumb/SUBARU_XV-2012_main.jpg_tmb.jpg,,Gasoline · Diesel
