Model,Image,Category,Engine Type
SUZUKI Swift 5 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Swift--2023_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel · Hybrid · Hybrid gasoline · Mild hybrid
SUZUKI Jimny,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Jimny-2023_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
SUZUKI Ignis,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Ignis-2019_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Mild hybrid
SUZUKI Vitara,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Vitara-2018_main.jpg_tmb.jpg,,Diesel · Gasoline · Hybrid
SUZUKI SX4 Crossover,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_SX4-S-Cross-2016_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
SUZUKI Escudo / Vitara 3 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Grand-Vitara-3-Doors-2006_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
SUZUKI Swace,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Swace-2020_main.jpg_tmb.jpg,WAGONS,Hybrid gasoline
SUZUKI Across,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Across-2020_main.jpg_tmb.jpg,SUVS,Hybrid gasoline
SUZUKI Escudo / Grand Vitara 3 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Grand-Vitara-3-Doors-2008_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
SUZUKI APV,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_APV-2000_main.jpg_tmb.jpg,VANS,Gasoline
SUZUKI Baleno,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Baleno-2016_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Mild hybrid
SUZUKI S-Cross,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_S-Cross-2021_main.jpg_tmb.jpg,SUVS,Mild hybrid · Hybrid gasoline
SUZUKI Aerio / Liana Hatchback,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Aerio---Liana-Hatchback-2001_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
SUZUKI Aerio / Liana Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Aerio---Liana-Sedan-2001_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
SUZUKI Alto,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Alto-2009_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
SUZUKI Equator,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Equator-Extended-Cab-2009_main.jpg_tmb.jpg,TRUCKS,Gasoline
SUZUKI Ertiga,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Ertiga-2012_main.jpg_tmb.jpg,VANS,Diesel · Gasoline
SUZUKI Escudo / Grand Vitara 5 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Grand-Vitara-2008_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
SUZUKI Forenza Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Forenza-Sedan-2004_main.jpg_tmb.jpg,SEDANS,Gasoline
SUZUKI Forenza Wagon,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Forenza-Wagon-2004_main.jpg_tmb.jpg,WAGONS,Gasoline
SUZUKI Kizashi,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Kizashi-2009_main.jpg_tmb.jpg,SEDANS,Gasoline
SUZUKI Reno,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Reno-2005_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
SUZUKI Splash,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Splash-2011_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
SUZUKI Swift 3 Doors,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Swift-3-Doors-2014_main.jpg_tmb.jpg,HATCHBACKS,Diesel · Gasoline
SUZUKI Swift Cabriolet,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Swift-Cabrio-1992_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
SUZUKI Swift Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Swift-Sedan-1991_main.jpg_tmb.jpg,SEDANS,Gasoline
SUZUKI SX4 Sedan,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_SX4-Sedan-2007_main.jpg_tmb.jpg,SEDANS,Gasoline
SUZUKI Verona,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Verona-2004_main.jpg_tmb.jpg,SEDANS,Gasoline
SUZUKI Wagon R,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_Wagon-R-2003_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
SUZUKI X90,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_X90-1996_main.jpg_tmb.jpg,SUVS,Gasoline
SUZUKI XL7,https://s1.cdn.autoevolution.com/images/models/thumb/SUZUKI_XL7-2007_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline
