Model,Image,Category,Engine Type
VOLVO XC90,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_XC90-2024_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Hybrid
VOLVO XC40,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_XC40-Recharge-2022_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel · Electric
VOLVO S90,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_S90-2019_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Hybrid
VOLVO V90 Cross Country,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_V90-Cross-Country-2019_main.jpg_tmb.jpg,WAGONS,Diesel · Gasoline
VOLVO V90,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_V90-2019_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel · Hybrid gasoline · Hybrid
VOLVO S60,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_S60-2018_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel · Ethanol · Hybrid
VOLVO V60,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_V60-2018_main.jpg_tmb.jpg,WAGONS,Diesel · Ethanol · Gasoline · Hybrid gasoline · Natural gas · Hybrid
VOLVO V60 Polestar,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_V60-Polestar-2017_main.jpg_tmb.jpg,WAGONS,Gasoline
VOLVO V60 Cross Country,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_V60-Cross-Country-2018_main.jpg_tmb.jpg,WAGONS,Diesel · Gasoline
VOLVO S60 Polestar,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_S60-Polestar-2017_main.jpg_tmb.jpg,SEDANS,Gasoline
VOLVO XC60,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_XC60-2017_main.jpg_tmb.jpg,SUVS,Diesel · Gasoline · Hybrid
VOLVO EX90,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_EX90-2022_main.jpg_tmb.jpg,SUVS,Electric
VOLVO C40,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_C40-Recharge-2022_main.jpg_tmb.jpg,SUVS,Electric
VOLVO EX30,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_EX30-2023_main.jpg_tmb.jpg,SUVS,Electric
VOLVO EM90,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_EM90-2023_main.jpg_tmb.jpg,VANS,Electric
VOLVO 142,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_142-1967_main.jpg_tmb.jpg,COUPES,Gasoline
VOLVO 144,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_144-1967_main.jpg_tmb.jpg,SEDANS,Gasoline
VOLVO 145,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_145-1967_main.jpg_tmb.jpg,WAGONS,Gasoline
VOLVO 244,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_244-1980_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
VOLVO 245,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_245-1980_main.jpg_tmb.jpg,WAGONS,Gasoline · Diesel
VOLVO 262,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_262-C-1977_main.jpg_tmb.jpg,COUPES,Gasoline
VOLVO 264,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_264-1980_main.jpg_tmb.jpg,SEDANS,Gasoline
VOLVO 265,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_265-1980_main.jpg_tmb.jpg,WAGONS,Gasoline
VOLVO 343,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_343-1978_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
VOLVO 345,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_345-1979_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
VOLVO 440,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_440-1993_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
VOLVO 460,https://s1.cdn.autoevolution.com/images/models/thumb/VOLVO_460-1993_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
