Country,Flag_url
Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/100px-Flag_of_Canada_%28Pantone%29.svg.png
Costa Rica,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Costa_Rica_%28state%29.svg/100px-Flag_of_Costa_Rica_%28state%29.svg.png
Cuba,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/100px-Flag_of_Cuba.svg.png
Dominica,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/100px-Flag_of_Dominica.svg.png
Dominican Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/100px-Flag_of_the_Dominican_Republic.svg.png
El Salvador,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/100px-Flag_of_El_Salvador.svg.png
Grenada,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Grenada.svg/100px-Flag_of_Grenada.svg.png
Guatemala,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/100px-Flag_of_Guatemala.svg.png
Haiti,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/100px-Flag_of_Haiti.svg.png
Honduras,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Flag_of_Honduras.svg/100px-Flag_of_Honduras.svg.png
Jamaica,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/100px-Flag_of_Jamaica.svg.png
Mexico,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/100px-Flag_of_Mexico.svg.png
Nicaragua,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Nicaragua.svg/100px-Flag_of_Nicaragua.svg.png
Panama,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Flag_of_Panama.svg/100px-Flag_of_Panama.svg.png
Saint Kitts and Nevis,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Saint_Kitts_and_Nevis.svg/100px-Flag_of_Saint_Kitts_and_Nevis.svg.png
Saint Lucia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_Saint_Lucia.svg/100px-Flag_of_Saint_Lucia.svg.png
Saint Vincent and the Grenadines,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Flag_of_Saint_Vincent_and_the_Grenadines.svg/100px-Flag_of_Saint_Vincent_and_the_Grenadines.svg.png
Trinidad and Tobago,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Trinidad_and_Tobago.svg/100px-Flag_of_Trinidad_and_Tobago.svg.png
United States,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/100px-Flag_of_the_United_States.svg.png
Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/100px-Flag_of_Argentina.svg.png
Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/100px-Flag_of_Brazil.svg.png
Chile,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/100px-Flag
