Brand,Official URL
B.M.W. Canada Inc.,https://www.bmw.ca/en/home.html
Blue Bird Body Co.,https://www.blue-bird.com/
Daewoo Auto Canada Inc.,https://en.wikipedia.org/wiki/Daewoo_Motors
DaimlerChrysler Canada Inc.,https://www.chrysler.ca/en
Ford Motor Company of Canada Limited,https://www.ford.ca/
Freightliner of Canada Ltd.,https://www.freightliner.com/
General Motors Canada Ltd.,https://www.gm.ca/en/home.html
General Motors of Canada Limited,https://www.gm.ca/en/home.html
General Motors of Canada Ltd.,https://www.gm.ca/en/home.html
Hino Diesel Trucks Canada Ltd.,https://www.hinocanada.com/
Honda Canada Inc.,https://www.honda.ca/en/
Hyundai Auto Canada Inc.,https://www.hyundaicanada.com/
International Truck and Engine Corporation Canada,https://www.international.com/
Jaguar Canada Inc.,https://www.jaguar.ca/en/index.html
"Kenworth Div., Paccar of Canada Ltd.",https://www.paccar.com/
Kia Canada Inc.,https://www.kia.ca/en
Land Rover group Canada Inc.,https://www.landrover.ca/en/index.html
Mack Canada Inc.,https://www.macktrucks.com/
Mazda Canada Inc.,https://www.mazda.ca/
Mercedes-Benz Canada Inc.,https://www.mercedes-benz.ca/en/home
"Mitsubishi Motor Sales of Canada, Inc.",https://www.mitsubishi-motors.ca/en
Motor Coach Industries Limited,https://www.mcicoach.com/
New Flyer Industries Ltd.,https://www.newflyer.com/
Nissan Canada Inc.,https://www.nissan.ca/
Nova Bus Corp.,https://novabus.com/
Orion Bus Industries Inc.,https://en.wikipedia.org/wiki/Orion_Bus_Industries
"Peterbilt Div., Paccar of Canada Ltd.",https://www.paccar.com/
Porsche Cars of Canada Ltd.,https://www.porsche.com/canada/en/
