Model,Image,Category,Engine Type
ALFA ROMEO Giulia,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA-ROMEO_Giulia-2022_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
ALFA ROMEO Stelvio,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA-ROMEO_Stelvio-2022_main.jpg_tmb.jpg,SUVS,Gasoline · Diesel
ALFA ROMEO Giulietta,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA-ROMEO_Giulietta-2016_main.jpg_tmb.jpg,COUPES,Gasoline · Natural gas · Diesel
ALFA ROMEO Stelvio Quadrifoglio,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA-ROMEO_Stelvio-Quadrifoglio-2017_main.jpg_tmb.jpg,SUVS,Gasoline
ALFA ROMEO 4C Spider,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA-ROMEO_4C-Spider-2015_main.jpg_tmb.jpg,CONVERTIBLES,Gasoline
ALFA ROMEO 4C,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA-ROMEO_4C-2013_main.jpg_tmb.jpg,COUPES,Gasoline
ALFA ROMEO Giulia GTA,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA-ROMEO_Giulia-GTA-2020_main.jpg_tmb.jpg,HATCHBACKS,Gasoline
ALFA ROMEO Junior,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA-ROMEO_Junior-2024_main.jpg_tmb.jpg,SUVS,Electric
ALFA ROMEO Giulia Quadrifoglio,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA-ROMEO_Giulia-Quadrifoglio-Verde-2016_main.jpg_tmb.jpg,SEDANS,Gasoline
ALFA ROMEO Giulia Veloce,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA-ROMEO_Giulia-Veloce-2016_main.jpg_tmb.jpg,SEDANS,Gasoline · Diesel
ALFA ROMEO Tonale,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA-ROMEO_Tonale-2022_main.jpg_tmb.jpg,SUVS,Hybrid gasoline
ALFA ROMEO 145,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA%20ROMEO_145-146-1994_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
ALFA ROMEO 146,https://s1.cdn.autoevolution.com/images/models/thumb/ALFA%20ROMEO_146-1995_main.jpg_tmb.jpg,HATCHBACKS,Gasoline · Diesel
