Brand,Logo URL
Alfa Romeo,https://1000logos.net/wp-content/uploads/2018/09/alfa-romeo-logo-500x281-1.jpg
Aston Martin,https://1000logos.net/wp-content/uploads/2020/02/Aston-Martin-Logo-tumb.png
BMW,https://1000logos.net/wp-content/uploads/2022/04/BMW-M-Logo-tumb.png
Chevrolet,https://1000logos.net/wp-content/uploads/2019/12/Chevrolet-logo-tumb.jpg
FIAT,https://1000logos.net/wp-content/uploads/2020/02/Fiat-Logo-thumb.png
Ford,https://1000logos.net/wp-content/uploads/2018/02/Ford-Logo-tumb.png
Hyundai,https://1000logos.net/wp-content/uploads/2018/04/Hyundai-Logo-tumb.png
Jeep,https://1000logos.net/wp-content/uploads/2022/12/Jeep-Wrangler-Logo-tumb.png
MAN Auto,https://1000logos.net/wp-content/uploads/2024/01/ZX-logo-tumb.jpg
Marathon cars,https://1000logos.net/wp-content/uploads/2023/12/Zenos-Cars-Logo-tumb.jpg
Mercedes-Benz,https://www.mercedes-benz.com/content/dam/brandhub/global/logos/MB-star_n_web.svg/_jcr_content/renditions/original
nissan,https://1000logos.net/wp-content/uploads/2020/03/nissan-tumb.jpg
Ram Trucks,https://1000logos.net/wp-content/uploads/2023/09/Sterling-Trucks-Logo-tumb.png
Renault,https://1000logos.net/wp-content/uploads/2023/09/Renault-Sport-Logo-tumb.png
Rimac,https://1000logos.net/wp-content/uploads/2024/01/Rimac-Logo-tumb.jpg
Tata Motors,https://1000logos.net/wp-content/uploads/2024/01/W-Motors-logo-tumb.jpg
Venirauto,https://upload.wikimedia.org/wikipedia/de/d/d6/Venirauto_logo.jpg?20130721213718
Volkswagen,https://1000logos.net/wp-content/uploads/2019/12/Volkswagen-logo-tumb.jpg
Zanella,https://seeklogo.com/images/Z/zanella-logo-B5AB6A62A0-seeklogo.com.png
